,name,league,games_home,wins_home,draws_home,losses_home,goals_for_home,goals_against_home,goal_diff_home,points_home,points_avg_home,games_away,wins_away,draws_away,losses_away,goals_for_away,goals_against_away,goal_diff_away,points_away,points_avg_away,top_team_scorers,top_keeper
0,Barrow,National League,19,13,2,4,33,15,+18,41,2.16,18,8,5,5,35,24,+11,29,29,Scott Quigley - 20,Joel Dixon
1,Harrogate,National League,19,12,4,3,32,16,+16,40,2.11,18,7,5,6,30,29,+1,26,26,Jack Muldoon - 13,James Belshaw
2,Notts County,National League,20,10,8,2,36,16,+20,38,1.90,18,7,4,7,25,22,+3,25,25,Kyle Wootton - 13,Sam Slocombe
3,Yeovil Town,National League,18,9,6,3,34,19,+15,33,1.83,19,8,3,8,27,25,+2,27,27,Rhys Murphy - 17,Stuart Nelson
4,Boreham Wood,National League,18,7,7,4,24,18,+6,28,1.56,19,9,5,5,31,22,+9,32,32,Kabongo Tshimanga - 18,Nathan Ashmore
5,FC Halifax Town,National League,20,10,3,7,31,26,+5,33,1.65,17,7,4,6,19,23,-4,25,25,Liam McAlinden - 10,Sam Johnson
6,Stockport,National League,19,9,3,7,28,28,0,30,1.58,20,7,7,6,23,26,-3,28,28,Elliot Osborne - 9,Ben Hinchcliffe
7,Solihull Moors,National League,19,12,1,6,29,15,+14,37,1.95,19,3,9,7,19,22,-3,18,18,Paul McCallum - 9,Ryan Boot
8,Hartlepool Utd,National League,19,8,5,6,28,23,+5,29,1.53,20,6,8,6,28,27,+1,26,26,Gime Toure - 12,Ben Killip
9,Woking,National League,19,8,6,5,22,22,0,30,1.58,19,7,4,8,28,33,-5,25,25,Jake Hyde - 16,Craig Ross
10,Barnet,National League,16,7,6,3,27,20,+7,27,1.69,19,7,6,6,26,23,+3,27,27,Simeon Akinola - 15,Scott Loach
11,Dover Athletic,National League,20,6,6,8,30,27,+3,24,1.20,18,9,3,6,19,22,-3,30,30,Inih Effiong - 16,Lee Worgan
12,Bromley,National League,19,8,6,5,37,26,+11,30,1.58,19,6,4,9,20,26,-6,22,22,Michael Cheek - 13,Ryan Huddart
13,Sutton United,National League,19,6,7,6,31,26,+5,25,1.32,19,6,7,6,16,16,0,25,25,Harry Beautyman - 15,"Jamie Butler, Nik Tzanev"
14,Torquay,National League,18,9,2,7,27,26,+1,29,1.61,18,5,4,9,29,35,-6,19,19,Jamie Reid - 18,Lucas
15,Aldershot Town,National League,19,7,6,6,28,25,+3,27,1.42,20,5,4,11,15,30,-15,19,19,Ethan Chislett - 9,Mitch Walker
16,Eastleigh,National League,17,6,8,3,22,18,+4,26,1.53,20,5,5,10,21,37,-16,20,20,Tyrone Barnett - 11,Max Stryjek
17,Dag & Red,National League,19,7,6,6,29,24,+5,27,1.42,18,4,5,9,11,20,-9,17,17,Ángelo Balanta - 8,Elliot Justham
18,Chesterfield,National League,19,6,4,9,31,34,-3,22,1.16,19,5,7,7,24,31,-7,22,22,"Mike Fondop-Talom, Scott Boden - 10",Shwan Jalal
19,Wrexham,National League,18,7,7,4,23,16,+7,28,1.56,19,4,3,12,23,33,-10,15,15,Bobby Grant - 7,Rob Lainton
20,Ebbsfleet Utd,National League,19,4,6,9,23,33,-10,18,0.95,20,6,6,8,24,35,-11,24,24,Gozie Ugwu - 12,Jordan Holmes
21,Maidenhead Utd,National League,20,4,4,12,20,30,-10,16,0.80,18,8,1,9,24,28,-4,25,25,Danny Whitehall - 13,Taye Ashby-Hammond
22,Fylde,National League,19,5,6,8,20,26,-6,21,1.11,18,4,6,8,24,34,-10,18,18,Jordan Williams - 9,Sam Hornby
23,Chorley,National League,19,3,5,11,13,30,-17,14,0.74,19,1,9,9,18,35,-17,12,12,"Alex Newby, Chris Holroyd - 6",Matthew Urwin
0,Crewe Alexandra,League Two,19,13,3,3,38,17,+21,42,2.21,18,7,6,5,29,26,+3,27,27,Chris Porter - 12,William Jääskeläinen
1,Swindon Town,League Two,19,13,2,4,34,17,+17,41,2.16,17,8,4,5,28,22,+6,28,28,Eoin Doyle - 25,Steven Benda
2,Plymouth Argyle,League Two,19,12,5,2,38,16,+22,41,2.16,18,8,3,7,23,23,0,27,27,Antoni Sarcevic - 10,Alex Palmer
3,Exeter City,League Two,18,10,7,1,31,15,+16,37,2.06,19,8,4,7,22,28,-6,28,28,Ryan Bowman - 13,Lewis Ward
4,Cheltenham,League Two,18,11,5,2,35,17,+18,38,2.11,18,6,8,4,17,10,+7,26,26,Ryan Broom - 8,Scott Flinders
5,Colchester Utd,League Two,18,9,5,4,28,17,+11,32,1.78,19,6,8,5,24,20,+4,26,26,Theo Robinson - 11,Dean Gerken
6,Northampton,League Two,19,11,2,6,31,14,+17,35,1.84,18,6,5,7,23,26,-3,23,23,"Andy Williams, Sam Hoskins - 8",David Cornell
7,Port Vale,League Two,18,9,8,1,28,15,+13,35,1.94,19,5,7,7,22,29,-7,22,22,"Richie Bennett, Tom Pope - 6",Scott Brown
8,Bradford City,League Two,18,11,5,2,29,14,+15,38,2.11,19,3,7,9,15,26,-11,16,16,James Vaughan - 11,Richard O'Donnell
9,Salford City,League Two,19,5,6,8,20,24,-4,21,1.11,18,8,5,5,29,22,+7,29,29,Adam Rooney - 8,Kyle Letheren
