,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Adam El-Abd\Adam-El-Abd,eg EGY,DF,Stevenage,34,1984,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Tristan Abrahams\Tristan-Abrahams,eng ENG,FW,Newport County,20,1998,33,17,1795,4,3,2,3,5,0,0.20,0.15,0.35,0.10,0.25,Matches
3,Ebou Adams\Ebou-Adams,gm GAM,MF,FG Rovers,23,1996,34,30,2762,4,4,0,0,9,0,0.13,0.13,0.26,0.13,0.26,Matches
4,Kielen Adams\Kielen-Adams,eng ENG,FW,Oldham Athletic,,,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Nicky Adams\Nicky-Adams,wal WAL,MF,Northampton,32,1986,37,37,3177,1,12,0,0,2,0,0.03,0.34,0.37,0.03,0.37,Matches
6,Alex Addai\Alex-Addai,eng ENG,FW,Cheltenham,,,25,7,859,4,1,0,0,3,1,0.42,0.10,0.52,0.42,0.52,Matches
7,Elijah Adebayo\Elijah-Adebayo,eng ENG,FW,Walsall,21,1998,30,15,1534,8,1,0,0,2,0,0.47,0.06,0.53,0.47,0.53,Matches
8,Rio Adebisi\Rio-Adebisi,eng ENG,DF,Crewe Alexandra,18,2000,2,1,101,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Manny Adebowale\Manny-Adebowale,eng ENG,DF,Crawley Town,21,1997,1,1,77,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Victor Adeboyejo\Victor-Adeboyejo,eng ENG,FW,Cambridge Utd,21,1998,8,7,604,0,2,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches
11,Oladapo Afolayan\Oladapo-Afolayan,eng ENG,FW,Mansfield Town,22,1997,6,0,128,1,0,0,0,0,0,0.70,0.00,0.70,0.70,0.70,Matches
12,Will Aimson\Will-Aimson,eng ENG,DF,Plymouth Argyle,23,1995,5,5,405,2,0,0,0,1,0,0.44,0.00,0.44,0.44,0.44,Matches
13,Callum Ainley\Callum-Ainley,eng ENG,MFFW,Crewe Alexandra,21,1997,25,6,780,2,4,0,0,1,0,0.23,0.46,0.69,0.23,0.69,Matches
14,Jack Aitchison\Jack-Aitchison,sco SCO,MFFW,FG Rovers,19,2000,28,23,2055,5,5,0,0,0,0,0.22,0.22,0.44,0.22,0.44,Matches
15,Nicky Ajose\Nicky-Ajose,eng ENG,FW,Exeter City,27,1991,13,10,776,2,0,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches
16,Jean-Louis Akpa Akpro\Jean-Louis-Akpa-Akpro,ci CIV,FW,Oldham Athletic,34,1985,3,3,161,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Hope Akpan\Hope-Akpan,ng NGA,MF,Bradford City,27,1991,19,13,1224,3,0,0,0,4,0,0.22,0.00,0.22,0.22,0.22,Matches
18,James Alabi\James-Alabi,eng ENG,FW,Leyton Orient,24,1994,10,0,112,1,0,0,0,0,0,0.80,0.00,0.80,0.80,0.80,Matches
